interval,split_count,epochs_count,batch,lstm1_units,lstm2_units,val_loss
50,3,9,32,135,94,0.6021888454755148
70,8,8,64,86,106,0.6586562097072601
55,6,5,32,74,115,0.5758422166109085
55,2,7,32,74,51,0.6073884069919586
56,4,5,32,79,119,0.6185455471277237
53,6,5,32,68,110,0.5860367665688196
54,5,5,32,108,113,0.6165072798728943
55,2,5,32,64,120,0.5841436684131622
51,3,5,32,82,97,0.6579110225041708
62,2,9,64,71,116,0.6123227775096893
56,7,10,32,40,101,0.8367708921432495
77,6,9,32,116,104,0.6195412278175354
58,4,8,64,60,108,0.5756817609071732
57,9,8,32,60,89,0.6517420411109924
58,4,8,64,56,109,0.5885908156633377
60,4,8,64,63,114,0.6132844388484955
57,4,5,64,70,125,0.5891599208116531
56,3,8,64,59,105,0.617371122042338
53,4,6,64,75,111,0.567455567419529
54,5,7,32,74,116,0.5804200947284699
53,3,6,64,67,95,0.6130551099777222
69,2,7,32,49,58,0.5764980912208557
69,3,7,32,48,62,0.5850697755813599
70,6,7,32,54,37,0.5987940828005472
52,2,7,32,37,57,0.6018198430538177
72,2,6,32,45,107,0.6133104264736176
68,2,7,32,50,44,0.6178149580955505
71,2,8,32,76,26,0.5974765121936798
65,2,7,32,57,67,0.5945424437522888
55,2,9,64,41,91,0.6212659478187561
59,3,10,32,53,99,0.5940679709116617
54,2,6,32,61,82,0.5984241366386414
56,3,8,32,44,102,0.5929744839668274
74,2,9,64,71,86,0.6282033622264862
54,5,7,32,78,119,0.5877397179603576
54,5,7,32,74,116,0.6281301498413085
55,4,7,32,64,109,0.6128074526786804
53,6,7,32,74,112,0.5910320778687795
69,5,10,32,68,115,0.6071418642997741
72,3,9,32,72,94,0.5630635221799215
72,3,9,32,66,93,0.5781711141268412
72,3,9,32,66,92,0.6049249370892843
72,3,9,64,69,89,0.5728645523389181
72,3,9,64,62,90,0.589457372824351
71,3,9,64,68,89,0.5812115867932638
73,3,9,64,64,87,0.5858252644538879
70,3,9,64,70,95,0.5687059263388315
70,3,9,64,70,94,0.5765883525212606
70,3,9,64,72,97,0.5767924586931864
70,3,9,64,70,95,0.5801845590273539
71,3,9,64,71,97,0.5970576008160909
70,3,9,64,76,99,0.5878215829531351
69,3,9,64,73,103,0.5973350604375204
71,3,10,64,72,92,0.6179765264193217
73,3,9,64,79,95,0.594321588675181
69,3,9,64,67,93,0.5882711013158163
70,3,8,64,69,98,0.5925673643747965
71,3,9,64,75,101,0.5938798785209656
72,4,9,64,59,86,0.6206510215997696
70,3,10,64,77,79,0.569428026676178
70,3,10,64,70,106,0.5727363228797913
67,3,10,64,77,70,0.5710682272911072
68,3,10,64,81,78,0.561159352461497
69,3,10,64,82,78,0.5768146912256876
67,3,10,64,82,71,0.5805152853329977
68,3,10,64,82,78,0.579115072886149
67,3,10,64,78,75,0.5992286006609598
69,3,10,64,86,79,0.6161540349324545
68,3,10,64,80,72,0.6157886385917664
70,3,10,64,77,79,0.5822047193845113
69,3,10,64,76,59,0.5990349253018697
70,3,10,64,72,83,0.5731066167354584
70,3,10,64,81,82,0.5652934114138285
70,3,10,64,73,81,0.576765239238739
70,3,10,64,73,85,0.5985066294670105
70,3,10,64,79,82,0.576664924621582
70,3,10,64,85,74,0.5826407869656881
70,3,10,64,79,81,0.5688309868176779
71,3,10,64,80,83,0.5885470112164816
67,3,10,64,79,82,0.5891926288604736
68,3,10,64,76,81,0.5742005904515585
68,3,10,64,77,69,0.5880715052286783
69,3,10,64,75,75,0.5791481733322144
68,3,10,64,76,84,0.5685849587122599
68,3,10,64,76,80,0.5880652268727621
66,3,10,64,88,84,0.6363012591997782
67,3,10,64,84,85,0.5867936611175537
69,3,10,64,81,64,0.5732623338699341
68,3,10,64,80,65,0.5910834471384684
69,3,10,64,77,75,0.5912049810091654
69,3,10,64,82,80,0.5626487135887146
71,3,10,64,81,78,0.5997743407885233
68,3,10,64,84,82,0.5790579716364542
67,3,10,64,74,77,0.6092188159624735
69,3,10,64,84,81,0.5870525240898132
65,3,10,64,77,87,0.573810855547587
64,3,10,64,77,87,0.5817054907480875
64,3,10,64,92,86,0.5833934942881266
66,3,10,64,81,79,0.5838253100713094
68,3,10,64,75,88,0.5953697760899862
65,3,10,64,78,84,0.6085666616757711
66,3,10,64,72,81,0.6100677251815796
69,3,10,64,11,17,0.6287729342778524
71,3,10,64,86,89,0.604971706867218
63,3,10,64,80,84,0.5821657578150431
68,3,1,64,142,77,0.6068962216377258
67,3,10,64,70,90,0.616998016834259
70,4,10,64,120,44,0.6292057782411575
69,3,10,64,75,74,0.5688674847284952
69,3,10,64,132,72,0.5814446806907654
70,3,10,64,82,75,0.6466933091481527
71,3,10,64,76,71,0.5841419696807861
68,3,10,64,78,81,0.6001138687133789
69,3,8,64,73,79,0.5878304441769918
70,3,10,64,88,68,0.5805937349796295
67,3,10,64,70,87,0.5791386961936951
68,3,10,64,80,77,0.5828598737716675
69,3,10,64,76,65,0.6013620495796204
70,3,10,64,84,84,0.5955921610196432
71,3,8,64,73,91,0.5847014784812927
61,3,10,64,68,73,0.5985606710116068
69,3,8,64,82,80,0.5798272291819254
72,3,10,64,78,83,0.5792483190695444
70,3,10,64,71,87,0.5843613147735596
71,3,10,64,75,91,0.5960720976193746
53,4,10,64,79,106,0.5679195672273636
52,3,10,64,79,78,0.5834280848503113
53,3,10,64,82,47,0.5909018715222677
53,4,10,64,76,30,0.5804839804768562
67,3,10,64,86,74,0.6101059913635254
69,3,10,64,98,105,0.5815413594245911
65,3,10,64,73,85,0.583438515663147
68,3,10,64,78,94,0.5730279882748922
70,3,10,64,80,95,0.56545290350914
72,3,10,64,83,97,0.5959500471750895
70,4,9,64,81,94,0.6411879360675812
71,10,10,64,87,100,0.683712762594223
69,3,10,64,79,97,0.5763358871142069
70,3,10,64,91,93,0.6773231426874796
71,3,9,64,103,100,0.6071872115135193
70,3,10,64,72,94,0.591981569925944
69,3,10,64,69,111,0.6003134449323019
68,3,9,64,84,91,0.5764946639537811
71,3,10,64,79,8,0.611055056254069
53,4,10,64,74,102,0.5749310478568077
69,3,9,64,81,105,0.5810473163922628
70,3,10,64,77,96,0.5638017058372498
72,3,10,64,74,97,0.5669773817062378
72,3,10,64,74,97,0.5967665314674377
71,3,6,64,71,94,0.5978627403577169
73,3,9,64,76,99,0.5889397263526917
72,4,10,64,77,96,0.6328097581863403
70,3,10,64,126,91,0.5835799276828766
71,3,9,64,68,89,0.5976175467173258
70,3,10,64,73,95,0.6368222633997599
72,3,10,64,79,99,0.6104204257329305
70,3,2,64,70,93,0.6118201613426208
71,3,10,64,78,102,0.5787166754404703
68,3,10,64,75,96,0.6071509122848511
70,3,9,64,90,89,0.5956766406695048
73,4,10,64,84,92,0.6306282430887222
51,3,9,64,72,99,0.6042955120404562
